,WorkPlace,EdLevel,YearsCodePro,YearsCode,Employment,WorkPosition,DevType,Age,OrgSize,Salary
55,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),2.0,3.0,full-time,Web dev,"Back-end developer, Full-stack developer",18-24 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",696000
56,สมุทรปราการ (Samut Prakan),มัธยมศึกษาตอนปลาย (High School),10.0,10.0,full-time,Web dev,Full-stack developer,18-24 ปี,มีคนเดียว ทำทุกตำแหน่ง (Freelancer/Just me),300000
57,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),6.0,12.0,full-time,Web dev,Back-end developer,25-34 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",240000
58,ขอนแก่น (Khon Kaen),ปริญญาตรี (Bachelor's Degree),3.0,3.0,full-time,Web dev,"Back-end developer, Front-end developer, Full-stack developer",25-34 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),300000
59,ปทุมธานี (Pathum Thani),ปริญญาตรี (Bachelor's Degree),1.0,4.0,full-time,Web dev,Front-end developer,18-24 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",360000
60,ราชบุรี (Ratchaburi),ปวส. (High Vocational Certificate),5.0,2.0,part-time,Web dev,"Back-end developer, Front-end developer, Database administrator, QA or test developer, Data or business analyst, Designer, DevOps specialist, Product manager, Student, Marketing or sales professional",18-24 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),120000
61,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),3.0,3.0,full-time,Data,"Data scientist or machine learning specialist, Data engineer",25-34 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",444000
62,กรุงเทพมหานคร (Bangkok),ปริญญาโท (Master's Degree),2.0,7.0,full-time,Web dev,Back-end developer,25-34 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),828000
63,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),2.0,2.0,full-time,Web dev,"Back-end developer, Front-end developer, Designer",25-34 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),300000
64,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),1.0,5.0,full-time,Web dev,"Back-end developer, Front-end developer",18-24 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),540000
65,นนทบุรี (Nonthaburi),ปริญญาตรี (Bachelor's Degree),3.0,2.0,freelance,Web dev,"Back-end developer, Front-end developer, Data or business analyst",25-34 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",360000
66,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),1.0,13.0,full-time,Web dev,Front-end developer,25-34 ปี,"1,000 คนขึ้นไป แต่ไม่เกิน 10,000 คน (1,000 to 9,999 employees)",400000
67,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),1.5,5.0,full-time,Web dev,Full-stack developer,25-34 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",420000
68,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),1.0,1.1,full-time,Web dev,"Front-end developer, Mobile developer",18-24 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),336000
69,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),0.0,0.0,full-time,Data,Data engineer,18-24 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",330000
70,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),6.0,10.0,full-time,Web dev,"Back-end developer, Front-end developer, Full-stack developer",25-34 ปี,"10,000 คนขึ้นไป (10,000 or more employees)",720000
71,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),2.0,2.0,full-time,Web dev,"Back-end developer, Front-end developer, Full-stack developer",25-34 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),324000
72,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),1.0,5.0,full-time,Mobile dev,Mobile developer,18-24 ปี,"1,000 คนขึ้นไป แต่ไม่เกิน 10,000 คน (1,000 to 9,999 employees)",600000
73,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),2.0,4.0,full-time,Web dev,"Back-end developer, Full-stack developer, Student",18-24 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",720000
74,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),4.0,12.0,full-time,Web dev,Back-end developer,25-34 ปี,"1,000 คนขึ้นไป แต่ไม่เกิน 10,000 คน (1,000 to 9,999 employees)",1800000
75,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),10.0,10.0,full-time,Web dev,"Back-end developer, DevOps specialist",25-34 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",1080000
76,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),2.0,5.0,full-time,Mobile dev,"Front-end developer, Full-stack developer, Embedded applications or devices developer, Data scientist or machine learning specialist, Database administrator, QA or test developer, Designer, Engineering manager, Data engineer, Academic researcher, Educator, Mobile developer, Student",25-34 ปี,2 คนขึ้นไป แต่ไม่เกิน 20 คน (2 to 19 employees),420000
77,นนทบุรี (Nonthaburi),ปริญญาตรี (Bachelor's Degree),2.0,4.0,part-time,Web dev,Student,18-24 ปี,มีคนเดียว ทำทุกตำแหน่ง (Freelancer/Just me),720000
78,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),5.0,5.0,full-time,Web dev,"Back-end developer, Front-end developer, Full-stack developer",25-34 ปี,"1,000 คนขึ้นไป แต่ไม่เกิน 10,000 คน (1,000 to 9,999 employees)",576000
79,ปทุมธานี (Pathum Thani),ปริญญาตรี (Bachelor's Degree),3.0,9.0,full-time,Web dev,Full-stack developer,25-34 ปี,2 คนขึ้นไป แต่ไม่เกิน 20 คน (2 to 19 employees),312000
80,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),3.0,3.0,full-time,Web dev,Full-stack developer,25-34 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",480000
81,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),3.0,7.0,full-time,Web dev,Full-stack developer,18-24 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",720000
82,กรุงเทพมหานคร (Bangkok),ปริญญาโท (Master's Degree),7.0,12.0,full-time,Web dev,"Back-end developer, Database administrator, Engineering manager, Academic researcher, System administrator, Student",25-34 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),840000
83,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),2.0,1.0,full-time,Mobile dev,"Front-end developer, Mobile developer",25-34 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),276000
84,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),0.1,2.0,full-time,Web dev,"Back-end developer, Data scientist or machine learning specialist",18-24 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),300000
85,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),2.0,4.0,full-time,Admin,System administrator,25-34 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",300000
86,กรุงเทพมหานคร (Bangkok),ปริญญาโท (Master's Degree),6.0,1.0,full-time,Web dev,"Front-end developer, Designer",25-34 ปี,"10,000 คนขึ้นไป (10,000 or more employees)",444000
87,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),3.0,1.6,full-time,Web dev,Full-stack developer,18-24 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",396000
88,กรุงเทพมหานคร (Bangkok),มัธยมศึกษาตอนปลาย (High School),1.2,4.0,full-time,Web dev,Full-stack developer,18-24 ปี,2 คนขึ้นไป แต่ไม่เกิน 20 คน (2 to 19 employees),240000
89,เชียงใหม่ (Chiang Mai),ปริญญาตรี (Bachelor's Degree),0.0,4.0,freelance,Web dev,"Front-end developer, Student",18-24 ปี,2 คนขึ้นไป แต่ไม่เกิน 20 คน (2 to 19 employees),480000
90,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),1.0,3.0,part-time,Web dev,"Back-end developer, Front-end developer, Full-stack developer, Student",18-24 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),320000
91,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),5.0,6.0,full-time,Web dev,"Back-end developer, Front-end developer, Full-stack developer",25-34 ปี,2 คนขึ้นไป แต่ไม่เกิน 20 คน (2 to 19 employees),468000
92,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),3.0,1.0,full-time,Web dev,"Front-end developer, Full-stack developer",18-24 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),300000
93,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),9.0,9.0,full-time,Desktop dev,"Back-end developer, Desktop or enterprise applications developer, Data or business analyst, DevOps specialist",25-34 ปี,"1,000 คนขึ้นไป แต่ไม่เกิน 10,000 คน (1,000 to 9,999 employees)",1600000
94,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),1.0,4.0,full-time,Mobile dev,"Front-end developer, Mobile developer",18-24 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",468000
95,นครปฐม (Nakhon Pathom),ปริญญาเอก (Doctoral Degree or PhD),12.0,12.0,full-time,Web dev,"Back-end developer, Front-end developer, Full-stack developer, Data scientist or machine learning specialist",25-34 ปี,มีคนเดียว ทำทุกตำแหน่ง (Freelancer/Just me),500000
96,กรุงเทพมหานคร (Bangkok),มัธยมศึกษาตอนต้น (Middle School),0.4,1.5,full-time,Web dev,"Full-stack developer, Database administrator, Mobile developer",18-24 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),190000
97,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),5.0,2.0,full-time,Admin,"Database administrator, Engineering manager, System administrator, DevOps specialist",25-34 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",420000
98,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),1.0,4.0,full-time,Service,"QA or test developer, Student",18-24 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",216000
99,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),3.0,10.0,full-time,Web dev,"Back-end developer, DevOps specialist",25-34 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),504000
100,สมุทรปราการ (Samut Prakan),ปริญญาตรี (Bachelor's Degree),1.0,3.0,part-time,Web dev,Front-end developer,25-34 ปี,2 คนขึ้นไป แต่ไม่เกิน 20 คน (2 to 19 employees),220000
101,ชลบุรี (Chonburi),ปวส. (High Vocational Certificate),7.0,3.0,full-time,Web dev,"Back-end developer, Front-end developer, Full-stack developer",25-34 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),200000
102,กรุงเทพมหานคร (Bangkok),ปวส. (High Vocational Certificate),1.11,2.0,full-time,Web dev,Full-stack developer,18-24 ปี,2 คนขึ้นไป แต่ไม่เกิน 20 คน (2 to 19 employees),330000
103,นนทบุรี (Nonthaburi),ปริญญาตรี (Bachelor's Degree),1.0,5.0,full-time,Data,Data scientist or machine learning specialist,18-24 ปี,"1,000 คนขึ้นไป แต่ไม่เกิน 10,000 คน (1,000 to 9,999 employees)",360000
104,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),2.8,2.8,full-time,Web dev,"Back-end developer, Database administrator, Data engineer, DevOps specialist",25-34 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",500000
105,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),7.0,8.0,full-time,Mobile dev,"Back-end developer, Mobile developer",25-34 ปี,"1,000 คนขึ้นไป แต่ไม่เกิน 10,000 คน (1,000 to 9,999 employees)",800000
106,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),0.0,4.0,full-time,Web dev,Back-end developer,18-24 ปี,"10,000 คนขึ้นไป (10,000 or more employees)",240000
107,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),7.0,4.0,full-time,Data,Data engineer,25-34 ปี,"1,000 คนขึ้นไป แต่ไม่เกิน 10,000 คน (1,000 to 9,999 employees)",756000
108,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),3.0,5.0,full-time,Engineer,"Database administrator, System administrator, DevOps specialist, Site reliability engineer",25-34 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",768000
109,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),3.0,7.0,full-time,Web dev,"Back-end developer, Front-end developer, Full-stack developer",25-34 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),578400
110,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),4.0,10.0,full-time,Mobile dev,"Back-end developer, Front-end developer, Full-stack developer, Desktop or enterprise applications developer, Mobile developer",25-34 ปี,2 คนขึ้นไป แต่ไม่เกิน 20 คน (2 to 19 employees),660000
111,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),3.0,2.0,full-time,Web dev,"Back-end developer, Database administrator",25-34 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",250000
112,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),1.0,5.0,full-time,Embled dev,"Embedded applications or devices developer, Desktop or enterprise applications developer",18-24 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",276000
113,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),1.5,6.0,full-time,Data,"Back-end developer, Data engineer",18-24 ปี,"10,000 คนขึ้นไป (10,000 or more employees)",700000
114,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),2.0,2.0,full-time,Bussiness,Data or business analyst,25-34 ปี,2 คนขึ้นไป แต่ไม่เกิน 20 คน (2 to 19 employees),300000
115,กรุงเทพมหานคร (Bangkok),ปริญญาโท (Master's Degree),3.0,8.0,full-time,Data,Data scientist or machine learning specialist,18-24 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",600000
116,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),4.0,4.0,full-time,Web dev,"Back-end developer, Front-end developer, Full-stack developer",25-34 ปี,"1,000 คนขึ้นไป แต่ไม่เกิน 10,000 คน (1,000 to 9,999 employees)",612000
117,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),3.0,3.0,full-time,Mobile dev,"Back-end developer, Front-end developer, Full-stack developer, Database administrator, Mobile developer, Game or graphics developer",25-34 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),324000
118,กรุงเทพมหานคร (Bangkok),ปริญญาโท (Master's Degree),5.0,3.0,full-time,Data,"Data scientist or machine learning specialist, Data or business analyst, Designer, Scientist",25-34 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",624000
119,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),2.0,2.0,full-time,Web dev,"Back-end developer, Data scientist or machine learning specialist",25-34 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",336000
120,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),3.0,3.0,full-time,Web dev,"Back-end developer, Front-end developer",25-34 ปี,"1,000 คนขึ้นไป แต่ไม่เกิน 10,000 คน (1,000 to 9,999 employees)",360000
121,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),1.0,2.0,full-time,Web dev,Full-stack developer,25-34 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",360000
122,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),4.0,4.0,full-time,Web dev,Front-end developer,25-34 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),653280
123,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),1.0,2.0,part-time,Data,"Back-end developer, Data engineer, Scientist",18-24 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),360000
124,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),1.2,4.0,full-time,Web dev,Full-stack developer,18-24 ปี,2 คนขึ้นไป แต่ไม่เกิน 20 คน (2 to 19 employees),300000
125,กรุงเทพมหานคร (Bangkok),ปริญญาโท (Master's Degree),11.0,6.0,full-time,Manager,"Back-end developer, Engineering manager, Product manager",25-34 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",1137936
126,นนทบุรี (Nonthaburi),ปริญญาตรี (Bachelor's Degree),1.6,3.0,full-time,Web dev,"Full-stack developer, #Consultant",25-34 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),200000
127,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),3.0,6.0,full-time,Web dev,"Back-end developer, Front-end developer, Full-stack developer, Data scientist or machine learning specialist, Designer, Data engineer, DevOps specialist, #Cloud Engineer, #UX/UI Developer, #Web Developer",18-24 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),600000
128,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),6.0,6.0,freelance,Engineer,"Back-end developer, Front-end developer, Full-stack developer, Embedded applications or devices developer, Database administrator, Designer, Engineering manager, System administrator, DevOps specialist, Site reliability engineer",25-34 ปี,2 คนขึ้นไป แต่ไม่เกิน 20 คน (2 to 19 employees),780000
129,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),3.1,10.0,full-time,Web dev,Full-stack developer,25-34 ปี,"1,000 คนขึ้นไป แต่ไม่เกิน 10,000 คน (1,000 to 9,999 employees)",1440000
130,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),17.0,17.0,full-time,Web dev,"Back-end developer, Front-end developer, DevOps specialist, Product manager, #Web Developer",35-44 ปี,"1,000 คนขึ้นไป แต่ไม่เกิน 10,000 คน (1,000 to 9,999 employees)",720000
131,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),5.0,8.0,full-time,Mobile dev,"Back-end developer, Front-end developer, Full-stack developer, Mobile developer",25-34 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",900000
132,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),3.0,3.0,full-time,Web dev,Back-end developer,25-34 ปี,"1,000 คนขึ้นไป แต่ไม่เกิน 10,000 คน (1,000 to 9,999 employees)",500000
133,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),5.0,5.0,full-time,Web dev,"Back-end developer, Front-end developer, Full-stack developer",25-34 ปี,"1,000 คนขึ้นไป แต่ไม่เกิน 10,000 คน (1,000 to 9,999 employees)",540000
134,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),0.33,4.0,full-time,Web dev,"Back-end developer, Full-stack developer",25-34 ปี,2 คนขึ้นไป แต่ไม่เกิน 20 คน (2 to 19 employees),350000
135,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),1.0,10.0,full-time,Security,"#IT Security, Penetration tester",18-24 ปี,"10,000 คนขึ้นไป (10,000 or more employees)",480000
136,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),0.33,5.0,full-time,Web dev,Front-end developer,18-24 ปี,2 คนขึ้นไป แต่ไม่เกิน 20 คน (2 to 19 employees),336000
137,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),5.0,5.0,full-time,Web dev,"Back-end developer, Full-stack developer",25-34 ปี,"10,000 คนขึ้นไป (10,000 or more employees)",876000
138,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),4.0,5.0,full-time,Web dev,"Back-end developer, Full-stack developer, Desktop or enterprise applications developer, Database administrator, DevOps specialist, #Cloud Engineer, #Web Developer",25-34 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),720000
139,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),5.0,6.0,full-time,Web dev,"Back-end developer, Full-stack developer",25-34 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",600000
140,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),0.0,0.0,full-time,Web dev,"Student, #Web Developer",18-24 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),420000
141,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),8.0,9.0,full-time,Web dev,Full-stack developer,25-34 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),1200000
142,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),1.0,4.0,full-time,Data,"Data scientist or machine learning specialist, Mobile developer",18-24 ปี,"1,000 คนขึ้นไป แต่ไม่เกิน 10,000 คน (1,000 to 9,999 employees)",360000
143,นนทบุรี (Nonthaburi),ปริญญาตรี (Bachelor's Degree),0.6,5.0,full-time,Desktop dev,"Back-end developer, Desktop or enterprise applications developer",18-24 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",276000
144,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),0.9,4.0,full-time,Web dev,Front-end developer,18-24 ปี,"1,000 คนขึ้นไป แต่ไม่เกิน 10,000 คน (1,000 to 9,999 employees)",900000
145,เชียงใหม่ (Chiang Mai),ปริญญาตรี (Bachelor's Degree),1.9,8.0,full-time,Web dev,"Front-end developer, Mobile developer, Student, #Web Developer",25-34 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),252000
146,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),5.0,5.0,full-time,Mobile dev,"Back-end developer, Front-end developer, Full-stack developer, Mobile developer",25-34 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",900000
147,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),3.0,8.0,full-time,Bussiness,Data or business analyst,25-34 ปี,"1,000 คนขึ้นไป แต่ไม่เกิน 10,000 คน (1,000 to 9,999 employees)",1000000
148,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),7.0,7.0,full-time,Manager,"Full-stack developer, Data engineer, DevOps specialist, Product manager, #Manager",25-34 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",1440000
149,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),4.0,4.0,full-time,Web dev,"Front-end developer, Full-stack developer, #Web Developer",25-34 ปี,"10,000 คนขึ้นไป (10,000 or more employees)",800000
150,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),1.0,1.0,full-time,Data,"Data or business analyst, Data engineer",18-24 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),600000
151,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),5.0,3.0,full-time,Engineer,"Full-stack developer, DevOps specialist, #Cloud Engineer, #Consultant",25-34 ปี,"10,000 คนขึ้นไป (10,000 or more employees)",910000
152,ปัตตานี (Pattani),ปริญญาเอก (Doctoral Degree or PhD),27.0,35.0,full-time,Academic,"Scientist, Academic researcher, Educator",45-54 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",556000
153,นนทบุรี (Nonthaburi),ปริญญาตรี (Bachelor's Degree),6.0,6.0,full-time,Web dev,Full-stack developer,25-34 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),500000
154,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),2.0,6.0,full-time,Web dev,"Back-end developer, Data engineer",18-24 ปี,"1,000 คนขึ้นไป แต่ไม่เกิน 10,000 คน (1,000 to 9,999 employees)",396000
155,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),2.0,2.0,full-time,Web dev,Full-stack developer,25-34 ปี,"1,000 คนขึ้นไป แต่ไม่เกิน 10,000 คน (1,000 to 9,999 employees)",250000
156,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),2.0,0.0,full-time,Engineer,Telecom engineer,25-34 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",340000
157,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),4.0,3.0,full-time,Bussiness,"Data or business analyst, #Consultant",25-34 ปี,"1,000 คนขึ้นไป แต่ไม่เกิน 10,000 คน (1,000 to 9,999 employees)",900000
158,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),5.0,3.0,full-time,Web dev,"Back-end developer, Front-end developer, Full-stack developer, Desktop or enterprise applications developer, Student, #IT Support, #Web Developer",18-24 ปี,"1,000 คนขึ้นไป แต่ไม่เกิน 10,000 คน (1,000 to 9,999 employees)",180000
159,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),10.0,0.0,full-time,Network,"Engineering manager, #Cloud Engineer, #IT Security, #Network Engineer, #Manager, #Security Engineer",25-34 ปี,"1,000 คนขึ้นไป แต่ไม่เกิน 10,000 คน (1,000 to 9,999 employees)",1500000
160,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),1.0,1.0,full-time,Data,"Data engineer, Business Intelligence",18-24 ปี,"1,000 คนขึ้นไป แต่ไม่เกิน 10,000 คน (1,000 to 9,999 employees)",480000
161,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),6.0,6.0,full-time,Web dev,"Back-end developer, Front-end developer, Full-stack developer",25-34 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),1008000
162,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),6.0,0.0,full-time,Art,UI/UX Designer,25-34 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),624000
