,WorkPlace,EdLevel,YearsCodePro,YearsCode,Employment,WorkPosition,DevType,Age,OrgSize,Salary
20,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),4.0,1.0,full-time,Web dev,#Web Developer,18-24 ปี,2 คนขึ้นไป แต่ไม่เกิน 20 คน (2 to 19 employees),17000
21,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),1.0,5.0,part-time,Web dev,Front-end developer,18-24 ปี,2 คนขึ้นไป แต่ไม่เกิน 20 คน (2 to 19 employees),10000
22,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),2.0,1.0,full-time,Web dev,Full-stack developer,18-24 ปี,2 คนขึ้นไป แต่ไม่เกิน 20 คน (2 to 19 employees),18500
23,กรุงเทพมหานคร (Bangkok),ปริญญาโท (Master's Degree),2.0,1.0,full-time,Data,Data scientist or machine learning specialist,25-34 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),23000
24,สมุทรปราการ (Samut Prakan),ปริญญาโท (Master's Degree),4.0,13.0,full-time,Game dev,graphics programmer (graphics programmer != game programmer),25-34 ปี,"10,000 คนขึ้นไป (10,000 or more employees)",400000
25,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),2.0,2.0,full-time,Game dev,Game or graphics developer,18-24 ปี,2 คนขึ้นไป แต่ไม่เกิน 20 คน (2 to 19 employees),36000
26,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),1.0,2.0,full-time,Web dev,Full-stack developer,18-24 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",50000
27,พระนครศรีอยุธยา (Phra Nahhon Si Ayutthaya),ปริญญาตรี (Bachelor's Degree),17.0,15.0,full-time,Manager,#Manager,35-44 ปี,"1,000 คนขึ้นไป แต่ไม่เกิน 10,000 คน (1,000 to 9,999 employees)",75800
28,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),4.0,3.0,full-time,Web dev,Front-end developer,25-34 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",40000
29,ปทุมธานี (Pathum Thani),ปริญญาตรี (Bachelor's Degree),15.0,8.0,full-time,Admin,Database administrator,35-44 ปี,2 คนขึ้นไป แต่ไม่เกิน 20 คน (2 to 19 employees),45000
30,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),5.0,6.0,full-time,Game dev,Game or graphics developer,25-34 ปี,2 คนขึ้นไป แต่ไม่เกิน 20 คน (2 to 19 employees),45000
31,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),0.5,1.0,full-time,Game dev,Game or graphics developer,25-34 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),25000
32,สงขลา (Songkla),ปริญญาตรี (Bachelor's Degree),1.0,0.0,full-time,Web dev,Front-end developer,25-34 ปี,2 คนขึ้นไป แต่ไม่เกิน 20 คน (2 to 19 employees),13000
33,อุบลราชธานี (Ubon Ratchathani),ปริญญาตรี (Bachelor's Degree),1.0,7.0,freelance,Data,Data scientist or machine learning specialist,18-24 ปี,มีคนเดียว ทำทุกตำแหน่ง (Freelancer/Just me),50000
34,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),0.0,3.0,part-time,Data,Data scientist or machine learning specialist,18-24 ปี,"10,000 คนขึ้นไป (10,000 or more employees)",30000
35,กรุงเทพมหานคร (Bangkok),ปริญญาโท (Master's Degree),6.0,6.0,full-time,Bussiness,Data or business analyst,25-34 ปี,"1,000 คนขึ้นไป แต่ไม่เกิน 10,000 คน (1,000 to 9,999 employees)",46000
36,กรุงเทพมหานคร (Bangkok),ปริญญาโท (Master's Degree),11.0,10.0,full-time,Data,Data scientist or machine learning specialist,35-44 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),193000
37,ปทุมธานี (Pathum Thani),ปริญญาตรี (Bachelor's Degree),1.0,1.0,full-time,Web dev,Full-stack developer,18-24 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",69
38,กรุงเทพมหานคร (Bangkok),ปริญญาโท (Master's Degree),6.0,6.0,full-time,Academic,Scientist,35-44 ปี,"10,000 คนขึ้นไป (10,000 or more employees)",300000
39,กรุงเทพมหานคร (Bangkok),ปริญญาโท (Master's Degree),5.0,5.0,full-time,Data,Data scientist or machine learning specialist,25-34 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),60000
40,ฉะเชิงเทรา (Chachoengsao),ปริญญาโท (Master's Degree),2.0,4.0,full-time,Data,Data scientist or machine learning specialist,25-34 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",95000
41,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),1.0,6.0,full-time,Web dev,Full-stack developer,25-34 ปี,2 คนขึ้นไป แต่ไม่เกิน 20 คน (2 to 19 employees),50000
42,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),19.0,19.0,full-time,Engineer,System analyst,35-44 ปี,"10,000 คนขึ้นไป (10,000 or more employees)",110000
43,นนทบุรี (Nonthaburi),ปริญญาตรี (Bachelor's Degree),8.0,8.0,full-time,Web dev,Front-end developer,25-34 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),280000
44,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),6.0,5.0,full-time,Web dev,Front-end developer,25-34 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",95000
45,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),6.0,6.0,full-time,Web dev,Back-end developer,25-34 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",95000
46,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),10.0,10.0,full-time,Web dev,DevOps specialist,25-34 ปี,"1,000 คนขึ้นไป แต่ไม่เกิน 10,000 คน (1,000 to 9,999 employees)",51700
47,ลำพูน (Lumpoon),ปริญญาตรี (Bachelor's Degree),17.0,17.0,full-time,Manager,#Manager,35-44 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",60000
48,กรุงเทพมหานคร (Bangkok),ปริญญาโท (Master's Degree),12.0,4.5,full-time,Data,Data scientist or machine learning specialist,35-44 ปี,"1,000 คนขึ้นไป แต่ไม่เกิน 10,000 คน (1,000 to 9,999 employees)",110000
49,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),4.0,8.0,full-time,Web dev,Full-stack developer,25-34 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),45000
50,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),2.0,2.0,full-time,Engineer,Software Engineer,18-24 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",32000
51,สมุุทรสงคราม (Samut  Songkhram),ปริญญาตรี (Bachelor's Degree),10.0,10.0,full-time,Mobile dev,Mobile developer,35-44 ปี,"1,000 คนขึ้นไป แต่ไม่เกิน 10,000 คน (1,000 to 9,999 employees)",140000
52,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),4.0,4.0,full-time,Data,Data scientist or machine learning specialist,25-34 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),65000
53,กรุงเทพมหานคร (Bangkok),มัธยมศึกษาตอนปลาย (High School),18.0,18.0,full-time,Security,#Security Engineer,35-44 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",110000
